Position,ApplicationDate,Notes,Source,JobUrl
Dotnet developer,2-9-2026,Mriti InfoSystems Inc.,indian recruiter?,,https://www.linkedin.com/jobs/search/?currentJobId=4353184472&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true
Senior Dotnet Developer,2-9-2026,"Concorde, Inc · United States (Remote)",,,https://www.linkedin.com/jobs/search/?currentJobId=4360816472&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_LOCATION_HISTORY&refresh=true
Dotnet Developer ,2-9-2026,Vaiticka Solution,contact 58/h,,https://www.linkedin.com/jobs/search/?currentJobId=4370553161&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_LOCATION_HISTORY&refresh=true
"Senior Software Engineer - (C#, SQL, Application Development) - ET hours ",2-9-2026,OneStream Software,remote,138k,https://www.linkedin.com/jobs/search/?currentJobId=4307577190&geoId=103644278&keywords=onestream%20software&origin=JOB_SEARCH_PAGE_KEYWORD_AUTOCOMPLETE&refresh=true
Senior Backend Engineer - SQL and C#,2-9-2026,skillable,remote,,https://ats.rippling.com/skillable-careers/jobs/65691707-c28a-488c-915e-d5610ed92726?jobSite=LinkedIn
,,,,,
Senior Dotnet Developer(W2),2-10-2026,Technology Hub Inc,remote,,https://www.linkedin.com/jobs/search/?currentJobId=4370439046&geoId=90000384&keywords=.net%20engineer&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
Senior Software Engineer,2-10-2026,IStaff,remote,,https://www.linkedin.com/jobs/search/?currentJobId=4370885067&geoId=90000384&keywords=.net%20engineer&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
Lead Software Engineer - remote / work from home - EST/CST ,2-10-2026,Expert Technical Solutions,remote,contract to hire,https://www.linkedin.com/jobs/search/?currentJobId=4370928589&geoId=90000384&keywords=.net%20engineer&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
Technical Integration Specialist,2-10-2026,Aptexx Inc,"2035 Lakeside Centre Way, Knoxville, TN 37922",full time,https://www.indeed.com/jobs?q=it&l=knoxville%2C+tn&commuteTime=35&from=searchOnDesktopSerp&vjk=deeb1a9d80d3325c&advn=7053544139170109
Full Stack Software Engineer - Blazor Focus,2-10-2026,Zetron,"6634 Central Avenue Pike, Knoxville, TN 37912",,https://www.indeed.com/?vjk=83c818746702b6d5&advn=136029603942923
Senior Software Engineer,2-10-2026,Meet Life Sciences,remote,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4356487267
,,,,,
Ebusiness-BI Analyst-Knoxville-Hybrid,2-11-2026,nancial services,hybrid,Knoxville,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4356487267
Senior Software Engineer,2-11-2026,AssetWorks,remote,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4369696332&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
interview,2-11-2026,OktoRocket,,,
,,,,,
Sr Level .NET Full Stack Engineer ,2-12-2026,"V-Soft Consulting Group, Inc.",remote,legacy app transform,https://www.linkedin.com/jobs/view/4329140885/?refId=012ca1e4-bcf2-4919-8208-e0c13925250d&trackingId=oJx5v7zVQ9ilhRX1RaUsNw%3D%3D
Senior Software Engineer II ,2-12-2026,CivicPlus,remote,,https://civicpluscareers.ttcportals.com/jobs/17211911-senior-software-engineer-ii?__jvst=Job+Board&__jvsd=LinkedIn
Sr Software Engineer,2-12-2026,HealthEquity,remote,,https://careers-healthequity.icims.com/jobs/7809/sr-software-engineer/job?source=LinkedIn&mode=job&iis=LinkedIn&iisn=LinkedIntsep
Sr. Software Engineer (Feature Focused - .NET/C#),2-12-2026,Jobot,remote,"$165,000 - $200,000",https://jobot.com/details/sr-software-engineer-feature-focused-net-c/e5e7078c01?utm_source=DigestAlert&utm_campaign=A&utm_medium=SimilarCandidate_JobTitle
Data Developer,2-12-2026,MasterCraft Boat Company,,,https://www.indeed.com/jobs?q=software+engineer&latLong=35.96064%2C-83.92074&locString=Knoxville%2C+TN&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard&vjk=486637559f2b1748&advn=3717104115177937
Software Developer - ReferralMD,2-12-2026,,Electronic Referral Manager Inc.,,https://www.indeed.com/jobs?q=software+engineer&latLong=35.96064%2C-83.92074&locString=Knoxville%2C+TN&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard&vjk=85df61f0b8ca33eb&advn=6773562138899129
.NET / Microsoft Application Developer,2-12-2026,"Dev Technology Group, Inc.",remote,government contract,https://job-boards.greenhouse.io/devtechnology/jobs/8414359002?gh_src=kw45jgqy2us
Senior Software Engineer,2-12-2026,SkyBridge Resources,Kentucky,,https://www.linkedin.com/jobs/view/4371601907/?refId=bed94301-cdb5-4d8c-95ee-6b93f1556319&trackingId=%2BsNYtNRrRzqn8RVjB7iQkg%3D%3D
Application support technician,2-12-2026,Palco,,,https://www.indeed.com/viewjob?jk=331d88240ee74ba8&q=it&l=knoxville%2C+tn&tk=1jh9fa3rp20lh000&from=ja&alid=69737ebad6f0e00ceceaab89&g1tAS=true&xpse=SoCq67I3npoUyNyEM50LbzkdCdPP&xfps=84e3ba64-4880-419f-bf3c-9c6ecd3ab3a0&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jh9fa3rp20lh000&xkcb=SoAV67M3npWnT4xpY50LbzkdCdPP
,,,,,
Lead Software Engineer - .Net (Remote),2-13-2026,"Progressive Leasing, Draper, UT",remote,,https://progleasing.wd5.myworkdayjobs.com/ProgLeasingCareers/job/Draper-UT/Lead-Software-Engineer---Net--Remote-_JR101418?source=LinkedIn
Senior Software Engineer – Data Integration (Healthcare),2-13-2026,PSI (Proteam Solutions),"columbus, ohio",,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4369558386
C# .NET Engineer – Specialty Channel Team (Remote),2-13-2026,"WebstaurantStore · Lititz, PA",remote,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4321526969
Software Development Engineer V,2-13-2026,Avalara,remote,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4342693385
,,,,,
"Product, Platform & Enterprise Full Stack Software Engineer II (Remote - US)",2-14-2026,BNSF railway,remote,123750 to 175000,https://www.indeed.com/viewjob?jk=5bded191059a3330&q=full+stack+developer&l=Remote&tk=1jhd3eq2cj4l9801&from=ja&alid=6970d367ce645b67a4f71a65&g1tAS=true&xpse=SoAj67I3nuN7C0ybXZ0LbzkdCdPP&xfps=31400104-01aa-4d21-ac5c-983571c2f308&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jhd3eq2cj4l9801&xkcb=SoDU67M3ntO0v8RI6Z0PbzkdCdPP
Senior Full Stack Engineer - Customer Solutions,2-14-2026,Stratus,remote,,https://www.indeed.com/viewjob?jk=304c61f15cf97af6&q=full+stack+developer&l=Remote&tk=1jhd3eq2cj4l9801&from=ja&alid=6970d367ce645b67a4f71a65&g1tAS=true&xpse=SoCe67I3nuA8lOS4xZ0LbzkdCdPP&xfps=631b7681-1d04-4ad7-8763-afbb45e80b47&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jhd3eq2cj4l9801&xkcb=SoD967M3ntO0v8RI6Z0NbzkdCdPP
Mid Full-Stack Developer,2-14-2026,Management Science & Innovation,remote,"$110,000 - $130,000 a year - Full-time",https://www.indeed.com/viewjob?jk=9f9d40fc770bb99e&advn=1609979693431061&adid=457159582&ad=-6NYlbfkN0BJ-PyTZZMzfn1sPeEAcinKtjR3z066qtmWhSOBnpSFXw8VVwjv2HcIu91fP-G41_g-KegtFKmeckRSoFvh51-JBlHzxmZPUJNeuA-8upzqH2A9e37uth05Yme7mqf8fKbN5tz6_gtUYztbF0Y-2Zp8tQXuTpht7sv40rLduPGPFtKQ-hPdc_zZVKGj9WlqtgGQarcvi35Rj6KDfzVJN6FHypVc-K3RuzSjbWfNB8CQmb-jcuRRyOeppPcM8hgp80o27supbMMVLe1BBw4RSQYQxqRkscavTGe7y-qYEmHbm9IAr8BhO57vuAWIGIerdiIn9YpVsns-tbD8xb4ifoscn4wi4Ndy8e39UrfqqM4276QVMkXWbZLGIqLg8C-YRJQ_YnF4EMJNkutiKEsojkRHGCdq5SRfmqva-_cx1fQn2y0EYtKSzFV0448_qJM72ITO-57kr9PRfFP50eW3n8-5onMLZj2vm_r1Ls5SygXkFZB9oMopieAQdtHaZtcKAgmcu2pnThKkroiAX0sKRCJ99YuwUqfua25nCfivvxQ5lOgJY33DdNbKzbtIJ3IjFV9m-3iPA6umf8Rp849gQ8gGmxwr548wgF0%3D&from=mobRdr&dest=http%3A%2F%2Fwww.indeed.com%2Fjob%2Fmid-full-stack-developer-9f9d40fc770bb99e&desth=43bde5dfd1640db0f7ca363e3d5dde66&dupclk=1&acatk=1jhe4sqf2g3ia802&rjptk=1jhe4slrfg2nh800&pub=4a1b367933fd867b19b072952f68dceb&camk=UoKtGZLa3XL6YuJ0sB1WxQ%3D%3D&xkcb=SoA56_M3nuB9ZbyQwh0PbzkdCdPP&xpse=SoBr6_I3nuB8lESSn50PbzkdCdPP&xfps=b5337042-cc13-4447-be8d-18a3fe411d4a&utm_source=%2Fm%2F&utm_medium=redir&utm_campaign=dt
Software Engineer - .NET/Aderant/Legal,2-14-2026,Ledgent Technology,remote,"$81,000 - $128,500 a year",https://www.indeed.com/viewjob?jk=3e192b8a0a147d21&tk=1jhdcjknugc94800&from=jobi2a&advn=8334639263528924&adid=455879196&ad=-6NYlbfkN0BhfrGGbcblirJ0_oD-V1jJ9SBvie1turFDKTAe6KCgN1MrDtAFDzZtxPFnuXWWauTizGHb0AA180KG8P5sH1O0TVQSPE3uvW_sk9_sFB7rqQP4zuYHPdlHZw0I3kyL9aTW5SYTNgdDj9gZSqwSLtmMYIzU5lfWsFvfJv1EKjZFRE1shRH2UhCZ56PRNgu0PH6vQbEACGMVUMBs89Zzj10HUjtT2o5f1ynd-zRC8ixLLANh0hpQVjMdIlJ5wMiZbzX4VI3w0qd7euBGoBjVgwy5IDg-LlOmnnnsqUTeJlB9viUBiWWCIQsMTictVWMGX8V_-lKgvOgaRx-vcIpdoJY0xC5d2vt-uIdWiJxe7B2d9LzIp_2F5opTWCBFrmHW8TGDIAYezAXOV7Q471yPJ3auYN3R7EY-_weB_ii5DuhM7gwYQSUK3vxL-ki1QR2r4FL8DNYQhW10J62NLiX4KH4larISaOs_9vHOyNNgwIJdNo8jZM4fXCT8IvzlB_tIT9mUFuLH3T4iQynmMG2BnR2kZ-YGmmH8JnC73PFOk3dBwqmvHYI77637HvwxsaEv5DTGNQdn7wp7E911YJunO2kei6eU_9DRMnL-pWzovwrW7A%3D%3D&sjdu=vUz3PJIdpGfygLQXVlxEDnPnVx1RwR9WnnR1VGa-f8rO5MpaY1AF-7c1a5kqTII0SJvLBkcPELPk2ASaYlDqafyb3dHtN-OThX7lccgHFux54eCSBEMsaIKZZUWkpjxy&acatk=1jhe5ehtq2230000&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XLCom5e2f5LLQ%3D%3D&jrtk=5-cmh1-1-1jhdcjjs8pipd800-3e192b8a0a147d21&xkcb=SoCL6_M3ntRYijWBwp0DbzkdCdPP&xpse=SoD26_I3nuC15oARir0JbzkdCdPP&xfps=b52455fc-5f9d-4ed2-b94d-b3f4ff29aa1a
Software Engineer,2-14-2026,Added Innovation,"Springfield, MO · Tulsa, OK · Remote ",80k to 100k,https://jobs.gusto.com/boards/added-innovation-4b7407e6-8578-453b-b5b7-d857e4dfd127
Senior Software Engineer,2-14-2026,Added Innovation,"Springfield, MO · Tulsa, OK · Remote ",100k to 130k,https://jobs.gusto.com/boards/added-innovation-4b7407e6-8578-453b-b5b7-d857e4dfd127
Software Engineer ,2-14-2026,Wellbe senior medical,remote,,https://www.linkedin.com/jobs/search/?currentJobId=4372123199&geoId=103644278&keywords=wellbe&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
Back End (C# .NET) Software Engineer,2-14-2026,ThemoFisher Scientific,remote,,https://thermofisher.dejobs.org/remote-gbr/back-end-c-net-software-engineer/730394157C53415796935F23FABCE7D9/job/?vs=105&utm_source=XMLFeed-DE&utm_medium=XMLFeed&utm_campaign=XMLFeed
,,,,,
Software Development Engineer II,2-15-2026,New American,,,https://careers-nafinc.icims.com/jobs/7735/software-development-engineer-ii/job?rb=LINKEDIN&mode=job&iis=Job+Board&iisn=LinkedIn
.Net Full Stack Developer ,2-15-2026,MethodHub,"remote, contract, knoxville",,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4372102705&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Senior Software Engineer,2-15-2026,GDI Infotech,"$145K/yr - $190K/yr + Bonus, Stock, remote, full time",,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4366112114&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
"Senior Software Engineer, Payments Fintech ",2-15-2026,LHH,$120K/yr - $130K/yr remote fulltime,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4368033600&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Senior .NET/C# Software Engineer,2-15-2026,Medical Knowledge Group, $130K/yr - $150K/yr remote full time,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4369169132&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Senior SQL Developer ,2-15-2026,Kforce Inc,$50/hr - $60/hr remote contract,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4367348113&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Sr .Net Fullstack Developer,2-15-2026,Apexon,remote fulltime,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4369814977&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Senior .NET Integration Developer,2-15-2026,Valere, remote contract,,https://www.linkedin.com/jobs/search/?currentJobId=4372163010&keywords=valere&origin=JOBS_HOME_SEARCH_BUTTON
Sr Software Engineer ,2-15-2026,OncoHealth,remote fulltime,,https://oncohealth.us/careers/?gnk=job&gni=8a7887a19b137669019b9944914b008c&gns=LinkedIn%2BLimited
,,,,,
C#&VB.NET Developer ,2-16-2026,The Planet Group,remote contract 55 to 64/hr,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4372134521&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Software Engineer II,2-16-2026,InComm Payments,remote fulltime ask for 115000,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4359447000&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Senior Software Developer,2-16-2026,Geonetric ,remote fulltime ask for 130000,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4366021837&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
NET Developer ,2-16-2026,CodeWorks,remote contract $33/hr - $49/hr,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4366161867&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Software Engineer - .Net,2-16-2026,"Daxko · Birmingham, AL (Remote)","$94.9K/yr - $134.7K/yr · Vision, 401(k)",,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4361611553&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
Web Designer/Net Consultant,2-16-2026,AppleOne,remote contract $60/hr - $68/hr,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4371517132&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII
.Net developer,2-16-2026,Motion Recruitment,remote contract $60/hr,,https://www.linkedin.com/jobs/search/?currentJobId=4368358662&geoId=90000384&keywords=devnet&origin=JOB_COLLECTION_PAGE_SEARCH_BUTTON&refresh=true
,,,,,
Software Engineer III/IV,2-17-2026,Zone5,full time on site california,,https://job-boards.greenhouse.io/zone5technologies/jobs/5033861008/
Research data steward,2-17-2026,Oak Ridge National Laboratory,,,https://jobs.ornl.gov/job/Oak-Ridge-Research-Data-Steward-TN-37830/1363117000/?feedId=301500&utm_source=ResearchGate&utm_campaign=ORNL_RG
"Software Engineer, .NET (Remote)",2-17-2026,Aspira,remote $104K-$127K / yr. ,,https://www.ziprecruiter.com/jobs/aspira-986325e5/software-engineer-net-remote-61e998f01?enc_campaign_id=944bd45e&lk=sWE0QfJhCZIPPWWun4bspw&tsid=122224016
Data Intelligence Engineer,2-17-2026,LKQ Corporation,on site nashville,,"https://lkqcorp.wd5.myworkdayjobs.com/ExternalCareerSite-LKQ/job/3102-Nashville-TN---Corporate-Office/Data-Intelligence-Engineer_R66617?replace(?source=IndeedOrganic,?source=IndeedSponsored)"
,,,,,
SQL Backend Developer,2-19-2026,Apex,"70 to 83 new york city, 12 months plus contract",,https://www.apexsystems.com/job/3013151_usa/backend-developer
software developer,2-19-2026,Apex,"$40 - $62 per hour, knoxville contract 3 days in office",,https://www.apexsystems.com/job/3013155_usa/developer
Software Engineering Manager ,2-19-2026,Clayton,Hybrid Full-time,,https://www.linkedin.com/jobs/search-results/?currentJobId=4356636918&eBP=NON_CHARGEABLE_CHANNEL&refId=urScA2ZpXeVBhk8cTXW71A%3D%3D&trackingId=QvebUh%2Fi7JvdY6OVdcDZ%2Bw%3D%3D&showHowYouFit=HOW_YOU_FIT&keywords=Senior%20Software%20Engineer&origin=QUALIFICATION_LANDING&geoId=90000384
Software engineer,2-19-2026,regal cinema,on site knoxville,,https://recruiting.ultipro.com/REG1000REGAL/JobBoard/1bbca4e6-7b2d-4f4f-bb34-681fc9385364/OpportunityDetail?opportunityId=c200a8cd-b416-4046-bf53-57903bb16ef9
SQL Backend Developer,2-19-2026,apex,interview,,
Information Technology Application Analyst ,2-19-2026,Employbridge,Knoxville on site fulltime,,https://www.linkedin.com/jobs/search-results/?currentJobId=4366632833&eBP=NON_CHARGEABLE_CHANNEL&refId=urScA2ZpXeVBhk8cTXW71A%3D%3D&trackingId=xugzz%2BeCucq8QRkLpcnj4Q%3D%3D&showHowYouFit=HOW_YOU_FIT&keywords=Senior%20Software%20Engineer&origin=QUALIFICATION_LANDING&geoId=90000384
Technical Integration Specialist,2-19-2026,Inhabit,Knoxville Hybrid fulltime,,https://www.paycomonline.net/v4/ats/web.php/portal/3B7D41D91746BB95F1A4DACFC560089B/jobs/350620
Software Engineer IV (SAS/.NET),2-19,recruiter - techgene solutions,birmingham,,
SQL Developer,2-19-2026,Cypress HCM,"remote 12 month contract to hire, 60  to 70",,https://www.linkedin.com/jobs/search/?currentJobId=4374076218&distance=25&f_TPR=a1770911974-&f_WT=1%2C3%2C2&geoId=90000384&keywords=sql%20developer&origin=JOB_ALERT_EMAIL&sortBy=R&trk=eml-email_job_alert_confirmation_01-email_job_alert_confirmation-0-see_all_jobs_cta
Data engineer reporting analyst,2-19-2026,Accenture Federal Services,$93K-$176K / yr. arlington va,,https://job-boards.greenhouse.io/accenturefederalservices/jobs/4649110006?gh_jid=4649110006&click_id=da20f86970a24fc9ab72483dbec0eadcoutc1
,,,,,
BI engineer,2-20-2026,Advantage Technical,"$80,000 - $100,000 a year",,https://www.indeed.com/viewjob?jk=129659fa6094b9bd&from=apply-conf
,,,,,
Data engineer II,2-26-2026,Bluebeam $108.9K/yr - $136K/yr Remote Full-time,130000,,https://careers.nemetschek.com/Bluebeam/job/Data-Engineer-III/1335724155/?utm_source=LINKEDIN&utm_medium=referrer&src=LinkedIn
Mid-Level .NET Software Engineer,2-26-2026,Stand8 Technology Consulting,$95K/yr - $120K/yr,,https://www.linkedin.com/jobs/collections/easy-apply/?currentJobId=4375635006&discover=true
.net developer with AWS,2-26-2026,SRM Digital LLC,"remote, contract",,https://www.linkedin.com/jobs/collections/easy-apply/?currentJobId=4378612066&discover=true
,,,,,
Enterprise Data Management Senior Analyst ,2-27-2026,First Horizon,"on site, full time memphis",,https://recruiting.ultipro.com/FIR1007FTN/JobBoard/c005ef3e-175a-49c4-ba29-9f431f673944/OpportunityDetail?opportunityId=e18b9bdd-803c-41df-9d4b-7d760a63cbcb&source=LinkedIn
Data engineer II,2-27-2026,PetSafe,"on site, full time Knoxville",,https://www.linkedin.com/jobs/search-results/?currentJobId=4377487286&eBP=CwEAAAGcn7R5yK1A85BSdIQhVVHe4TmiR8pJXqTZX4RPPmFKdJRgc57A4BvSdtNElJ7M2tL3BwQS2mW7i3DT2Ycx7AofgpqKnKEFQ6bVn0PTzEXe-KYk-3u_38D6KzDWSbZu0dJNHXHcdcphBFkE0lZqJadjEIQHabm5ZAM854Zzs9hptPz0BslSeADQbBKkMvgt_v3S22gVgP8_nLmva8mXDi3AMz7ebTHPFDM1S5xKArG2mpOnWLngBGBfxTs6LNvWcJvUUBfgU23t4qPsuN0AJ3_zd02-KBRoUgyhVMctuhgoeHnuxQzDxspSCNHzQZqxkFYqOq88YzSQhO9utai9KbSamQATubsvgMqDjv4ECwPHEU__kFNwGPgkB2hn1dSrqdun8HL5lQffWD0EVpfGYJfWLQJ5RNgQDwjuQcD_PAiVJZ186B_ZzTv30osJnKDGGQLHcVcu2DGTeayWySHyko2Hvc1KYi-tlrkgyOPBCWo7I128ROZRL5NWTki9lFW9ssC_vu7g5HH_wzjlV16kpsZgNNUtPrFQVI8&refId=O8paKyxOv%2BVlQbeHTUr78w%3D%3D&trackingId=DPdRKfCsJTZ8VLDqPmBD7A%3D%3D&keywords=data%20engineer&origin=SEMANTIC_SEARCH_LANDING_PAGE
.Net developer,,Inhabit,"on site, full time Knoxville  monday to thursday in office and 1",,https://www.paycomonline.net/v4/ats/web.php/portal/3B7D41D91746BB95F1A4DACFC560089B/jobs/357789
,,,,,
backend developer,2-28-2026,Hussmann,Remote fulltime,,https://www.linkedin.com/jobs/view/4379037665/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4379037665&refId=tlQrCshgQcmpLwv4mpFVFg%3D%3D&trackingId=Ui8FjDweSNy3nyfwv0icpQ%3D%3D
,,,,,
data manager,3-1-2026,smart bank,"Sevierville, TN (On-site) full time",,https://www.linkedin.com/jobs/search-results/?currentJobId=4377575693&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=UF9tEBZt0ek0ifiqt0%2F75g%3D%3D&trackingId=uDHc1mfjyUnSBrksPzkxAQ%3D%3D&keywords=smartlight%20analytics&origin=SEMANTIC_SEARCH_LANDING_PAGE
,,,,,
"Advanced Engineer, Database Development and Automation",3-3-2026,Pilot,full time on site,,https://jobs.smartrecruiters.com/PilotCompany/744000112279108-advanced-engineer-database-development-and-automation?trid=2d92f286-613b-4daf-9dfa-6340ffbecf73
"Manager, Data Solution Lead ",3-3-2026,KPMG, hybrid fulltime knoxville,,https://www.kpmguscareers.com/jobdetail/?jobId=132269-A&srcCat=Job+Boards&specSrc=LinkedIn